country_of_origin,destination_country,destination_city,year,count,gender,age_group
India,South Korea,Seoul,2021,6688,Female,18-22
Nigeria,UAE,Sharjah,2018,1228,Male,18-22
Brazil,South Korea,Busan,2015,1647,Male,18-22
Turkey,Finland,Turku,2021,595,Male,23-26
Brazil,Canada,Montreal,2024,4347,Female,18-22
Turkey,Japan,Osaka,2021,3316,Female,23-26
Nepal,India,Bangalore,2018,1200,Male,18-22
China,France,Marseille,2017,5204,Male,27+
Turkey,Finland,Helsinki,2024,795,Female,23-26
Nepal,South Africa,Cape Town,2019,1223,Male,18-22
Turkey,Norway,Oslo,2022,1582,Female,18-22
Vietnam,South Korea,Busan,2017,2464,Female,18-22
Pakistan,France,Paris,2019,3257,Female,18-22
Nigeria,Germany,Hamburg,2020,4858,Male,18-22
Nepal,Spain,Valencia,2016,1605,Male,18-22
Brazil,Singapore,Singapore,2016,1452,Male,23-26
Nepal,Russia,Kazan,2016,1226,Female,18-22
Turkey,Netherlands,Eindhoven,2020,2093,Male,23-26
Brazil,Netherlands,Amsterdam,2015,1978,Female,18-22
Pakistan,Spain,Barcelona,2017,2149,Female,23-26
Vietnam,South Korea,Seoul,2019,2144,Male,27+
Pakistan,Italy,Rome,2022,2896,Female,18-22
Vietnam,Japan,Tokyo,2020,2263,Female,18-22
Nigeria,South Korea,Daejeon,2019,3157,Male,23-26
Nepal,Finland,Helsinki,2024,492,Male,18-22
Brazil,Japan,Kyoto,2018,3064,Female,18-22
Nigeria,Norway,Oslo,2015,1851,Female,23-26
Nigeria,Italy,Rome,2019,2900,Male,18-22
Brazil,Sweden,Uppsala,2016,1209,Female,27+
Nepal,Singapore,Singapore,2024,2300,Female,18-22
Bangladesh,France,Marseille,2020,4241,Male,23-26
Brazil,Ireland,Cork,2019,947,Female,23-26
China,South Korea,Seoul,2020,4699,Female,18-22
China,USA,New York,2017,10882,Female,18-22
China,USA,Boston,2020,12896,Female,23-26
Nigeria,Italy,Milan,2016,3095,Male,18-22
Bangladesh,Canada,Vancouver,2017,3853,Male,23-26
Brazil,Germany,Hamburg,2018,3551,Female,18-22
Brazil,Finland,Turku,2018,672,Male,18-22
Brazil,Ireland,Cork,2024,1214,Female,23-26
Bangladesh,USA,Chicago,2016,4086,Male,18-22
Bangladesh,Canada,Vancouver,2017,3962,Female,23-26
Turkey,Spain,Valencia,2024,2995,Female,23-26
Turkey,Germany,Munich,2024,3546,Male,18-22
Nepal,Germany,Munich,2022,4131,Female,18-22
Vietnam,Canada,Toronto,2018,3089,Male,23-26
Vietnam,Sweden,Gothenburg,2015,1193,Female,27+
China,Netherlands,Eindhoven,2022,4225,Female,18-22
China,Italy,Florence,2020,4463,Female,18-22
Vietnam,Finland,Helsinki,2015,526,Female,18-22
Vietnam,Singapore,Singapore,2021,2567,Female,18-22
China,Singapore,Singapore,2021,3851,Female,18-22
Nepal,Singapore,Singapore,2023,1910,Male,23-26
Nepal,Netherlands,Eindhoven,2022,1738,Female,18-22
India,Norway,Bergen,2016,2787,Male,18-22
Nepal,UAE,Abu Dhabi,2023,989,Female,18-22
Nigeria,Australia,Sydney,2017,5061,Female,23-26
Vietnam,Japan,Tokyo,2022,3228,Male,23-26
India,Netherlands,Eindhoven,2019,4262,Male,18-22
China,Spain,Barcelona,2016,3781,Female,27+
Nigeria,Spain,Madrid,2023,4222,Female,18-22
Kenya,Spain,Valencia,2021,2121,Male,18-22
Kenya,Russia,Kazan,2017,1670,Non-binary,18-22
Kenya,Ireland,Galway,2021,948,Male,18-22
Nepal,India,Bangalore,2017,1007,Female,18-22
India,Canada,Montreal,2021,10162,Male,23-26
Kenya,UAE,Sharjah,2024,1173,Female,27+
Kenya,India,Bangalore,2016,1198,Male,23-26
Nigeria,South Korea,Seoul,2023,4459,Male,18-22
India,Sweden,Stockholm,2021,3969,Male,18-22
China,Netherlands,Eindhoven,2015,2375,Male,23-26
Kenya,Germany,Munich,2021,3194,Female,23-26
Vietnam,France,Marseille,2022,4138,Female,23-26
Bangladesh,Norway,Trondheim,2019,1499,Female,18-22
Brazil,Ireland,Dublin,2022,952,Female,18-22
Kenya,Russia,Moscow,2023,2121,Male,18-22
Bangladesh,UK,London,2018,3975,Male,18-22
Turkey,India,Delhi,2020,1389,Non-binary,23-26
Bangladesh,India,Mumbai,2017,841,Male,23-26
Kenya,Australia,Melbourne,2022,4920,Male,18-22
Kenya,Australia,Brisbane,2022,3464,Female,18-22
Turkey,UK,Birmingham,2015,3330,Male,18-22
Pakistan,South Korea,Seoul,2022,2664,Female,18-22
Kenya,South Korea,Busan,2016,2681,Female,27+
Kenya,Canada,Toronto,2023,4428,Male,27+
Turkey,UAE,Abu Dhabi,2022,1213,Female,18-22
Bangladesh,Sweden,Stockholm,2021,1981,Male,18-22
Nepal,Italy,Rome,2016,1915,Female,27+
Nepal,India,Mumbai,2016,1427,Male,18-22
Turkey,South Korea,Busan,2020,2193,Male,23-26
Turkey,Canada,Vancouver,2018,3403,Male,18-22
China,Japan,Osaka,2024,6682,Male,18-22
China,Russia,Kazan,2015,2824,Male,23-26
India,Canada,Toronto,2015,8189,Male,23-26
Turkey,USA,Chicago,2020,5714,Male,23-26
Nigeria,Russia,Moscow,2022,2853,Female,18-22
Vietnam,Singapore,Singapore,2023,1688,Female,23-26
Pakistan,UK,Manchester,2015,2740,Male,18-22
Bangladesh,Spain,Barcelona,2024,2813,Non-binary,23-26
Brazil,Australia,Melbourne,2017,3173,Female,18-22
Bangladesh,Canada,Vancouver,2015,4361,Male,23-26
Vietnam,India,Mumbai,2016,1208,Male,23-26
India,Ireland,Cork,2018,2038,Male,27+
Brazil,India,Bangalore,2021,1746,Male,23-26
Nepal,Germany,Hamburg,2020,2478,Male,23-26
China,Ireland,Cork,2023,1764,Female,18-22
Nigeria,South Korea,Seoul,2023,4442,Female,18-22
India,Singapore,Singapore,2017,4048,Male,18-22
Nepal,Singapore,Singapore,2023,2562,Female,18-22
Kenya,Ireland,Dublin,2015,670,Female,18-22
Kenya,India,Mumbai,2023,1489,Male,18-22
Vietnam,Spain,Madrid,2017,2230,Male,18-22
Nepal,Japan,Tokyo,2016,2233,Male,18-22
Vietnam,Finland,Turku,2021,635,Female,18-22
Vietnam,Norway,Trondheim,2018,1264,Male,23-26
China,Australia,Melbourne,2016,6734,Male,23-26
China,UK,London,2022,9523,Non-binary,18-22
India,Canada,Vancouver,2016,8755,Male,18-22
Pakistan,USA,Los Angeles,2024,7241,Male,18-22
Bangladesh,UK,Manchester,2023,5232,Female,18-22
Nigeria,Spain,Valencia,2017,3687,Female,18-22
Brazil,USA,Chicago,2017,6960,Female,18-22
Nigeria,Russia,Moscow,2017,2717,Non-binary,23-26
Nigeria,Ireland,Dublin,2023,1776,Non-binary,23-26
Pakistan,Italy,Rome,2020,2450,Female,23-26
Kenya,Australia,Sydney,2019,3229,Female,18-22
Kenya,USA,Los Angeles,2015,6602,Male,18-22
India,Sweden,Stockholm,2022,4377,Male,18-22
Vietnam,Italy,Florence,2017,2366,Male,18-22
Kenya,Norway,Oslo,2024,1378,Male,18-22
Bangladesh,Germany,Munich,2018,3701,Male,18-22
Kenya,Norway,Bergen,2019,1440,Male,18-22
Kenya,Japan,Osaka,2016,2359,Male,27+
China,South Korea,Daejeon,2016,4562,Female,18-22
Vietnam,France,Lyon,2023,4094,Male,27+
Pakistan,Australia,Sydney,2015,3202,Female,23-26
Bangladesh,Australia,Melbourne,2024,3916,Female,23-26
Vietnam,France,Lyon,2019,2109,Male,27+
Brazil,France,Paris,2020,3172,Male,18-22
Brazil,Norway,Trondheim,2016,910,Female,18-22
Turkey,Germany,Berlin,2022,2657,Male,18-22
China,Russia,Kazan,2016,3094,Male,18-22
Kenya,South Africa,Cape Town,2023,1226,Male,18-22
Pakistan,Ireland,Dublin,2017,855,Female,23-26
Vietnam,Australia,Melbourne,2023,3411,Male,18-22
Turkey,France,Marseille,2018,3651,Male,27+
Kenya,South Africa,Pretoria,2023,1298,Male,23-26
Nepal,Germany,Berlin,2023,3620,Female,23-26
Nigeria,Russia,Moscow,2019,2821,Male,18-22
China,Singapore,Singapore,2015,2287,Male,23-26
Brazil,UK,Manchester,2016,3479,Female,18-22
Nigeria,Singapore,Singapore,2016,2301,Male,27+
Brazil,India,Bangalore,2022,935,Male,18-22
Vietnam,South Africa,Pretoria,2023,1770,Female,27+
Pakistan,Singapore,Singapore,2016,1673,Male,18-22
India,Ireland,Dublin,2022,2380,Female,18-22
Vietnam,Russia,Moscow,2016,1758,Female,27+
Bangladesh,Spain,Barcelona,2015,1434,Male,18-22
Nigeria,Spain,Valencia,2016,3891,Female,23-26
India,Sweden,Uppsala,2023,4585,Female,27+
China,Japan,Osaka,2018,5560,Female,18-22
China,Netherlands,Amsterdam,2021,4113,Male,23-26
India,Germany,Berlin,2017,5825,Male,18-22
Vietnam,Singapore,Singapore,2020,1997,Female,18-22
Turkey,Singapore,Singapore,2016,1280,Female,18-22
Pakistan,Ireland,Dublin,2015,742,Female,18-22
Nigeria,UK,Manchester,2019,6905,Male,18-22
Brazil,Ireland,Galway,2024,1053,Female,23-26
Nigeria,South Africa,Johannesburg,2018,2181,Male,18-22
Pakistan,Ireland,Dublin,2016,581,Non-binary,23-26
Turkey,Germany,Berlin,2017,2724,Female,18-22
India,Spain,Barcelona,2023,7255,Female,18-22
Nepal,Spain,Valencia,2016,1737,Male,18-22
Bangladesh,Norway,Trondheim,2016,1068,Female,23-26
Vietnam,Ireland,Galway,2016,430,Female,18-22
Nigeria,Australia,Sydney,2018,5592,Male,23-26
Vietnam,South Africa,Cape Town,2020,1430,Female,23-26
Bangladesh,Ireland,Galway,2015,814,Female,18-22
India,South Korea,Daejeon,2021,6589,Male,27+
Kenya,South Korea,Busan,2022,2692,Male,23-26
Nigeria,South Africa,Cape Town,2020,2281,Female,18-22
Pakistan,UK,London,2023,4899,Male,18-22
Turkey,Italy,Rome,2020,2610,Female,23-26
Kenya,India,Delhi,2018,1324,Female,23-26
China,Sweden,Gothenburg,2016,2579,Female,18-22
Turkey,Norway,Bergen,2017,859,Female,18-22
Kenya,South Africa,Pretoria,2024,2103,Female,18-22
China,Norway,Oslo,2022,3006,Male,18-22
Vietnam,UAE,Sharjah,2016,978,Male,23-26
Nigeria,Australia,Brisbane,2023,6710,Female,18-22
Nepal,Spain,Barcelona,2024,3023,Male,23-26
China,Spain,Valencia,2020,5132,Male,18-22
Kenya,UK,London,2023,5073,Male,18-22
Bangladesh,Canada,Montreal,2016,4219,Male,18-22
Brazil,India,Delhi,2022,1597,Female,27+
India,Australia,Melbourne,2019,8432,Female,18-22
Nigeria,South Korea,Seoul,2018,2832,Male,18-22
Brazil,USA,Chicago,2019,5135,Male,23-26
Nepal,Germany,Berlin,2018,2532,Female,23-26
China,India,Bangalore,2017,2162,Male,23-26
Vietnam,Germany,Hamburg,2022,3421,Female,18-22
Pakistan,UAE,Sharjah,2016,902,Male,27+
Brazil,Singapore,Singapore,2019,2054,Female,23-26
Turkey,UK,Birmingham,2024,4210,Female,18-22
India,Spain,Madrid,2016,5171,Male,18-22
China,South Africa,Johannesburg,2017,2893,Female,23-26
Vietnam,Norway,Oslo,2023,1490,Male,18-22
Bangladesh,Russia,St. Petersburg,2018,2106,Male,23-26
Vietnam,France,Lyon,2022,4335,Male,18-22
Pakistan,Sweden,Gothenburg,2021,1549,Male,18-22
Vietnam,UAE,Abu Dhabi,2023,1027,Non-binary,18-22
China,UK,Manchester,2019,9740,Female,18-22
Turkey,Singapore,Singapore,2017,1657,Male,23-26
Bangladesh,Canada,Montreal,2019,3248,Non-binary,18-22
Turkey,Italy,Florence,2024,2789,Male,23-26
Nepal,France,Lyon,2022,3408,Male,18-22
Nepal,Germany,Berlin,2016,1814,Male,27+
Vietnam,Canada,Toronto,2022,4447,Female,18-22
Vietnam,Ireland,Dublin,2018,750,Male,23-26
Pakistan,Germany,Berlin,2024,3981,Male,23-26
Vietnam,Canada,Toronto,2018,3556,Female,18-22
Pakistan,France,Marseille,2016,1629,Male,18-22
Vietnam,Spain,Madrid,2018,1728,Male,23-26
China,Japan,Tokyo,2024,6273,Male,18-22
Bangladesh,Norway,Bergen,2024,1754,Male,18-22
Nigeria,Sweden,Uppsala,2024,2871,Male,18-22
India,India,Mumbai,2019,2877,Female,18-22
Nepal,South Korea,Daejeon,2018,1905,Male,23-26
Bangladesh,UK,Birmingham,2021,5623,Male,23-26
Vietnam,France,Paris,2018,3597,Male,23-26
Bangladesh,South Korea,Seoul,2018,2567,Male,27+
Bangladesh,Australia,Melbourne,2024,4689,Male,18-22
Bangladesh,UAE,Sharjah,2017,850,Female,23-26
Turkey,Finland,Tampere,2016,369,Female,18-22
India,Norway,Oslo,2019,3934,Female,23-26
Kenya,Norway,Trondheim,2015,915,Male,23-26
Bangladesh,Netherlands,Rotterdam,2023,1990,Female,23-26
Brazil,Ireland,Dublin,2023,862,Female,18-22
Bangladesh,France,Paris,2017,2858,Male,18-22
India,South Korea,Seoul,2016,4944,Male,18-22
Brazil,Sweden,Uppsala,2019,1474,Male,23-26
Vietnam,Italy,Milan,2016,1394,Female,27+
Turkey,South Africa,Pretoria,2015,1213,Male,18-22
Nigeria,Norway,Trondheim,2022,2121,Male,23-26
Turkey,UAE,Dubai,2015,655,Male,27+
Bangladesh,Canada,Vancouver,2015,3182,Female,18-22
Brazil,Ireland,Dublin,2021,741,Male,23-26
India,South Africa,Cape Town,2024,3993,Female,23-26
Vietnam,Spain,Barcelona,2024,3091,Female,23-26
Nigeria,Japan,Kyoto,2017,3361,Female,23-26
Pakistan,Japan,Osaka,2020,3115,Male,18-22
Kenya,Norway,Oslo,2017,1344,Male,18-22
Nepal,Finland,Turku,2024,810,Male,18-22
Vietnam,South Africa,Pretoria,2022,1461,Female,18-22
China,Netherlands,Eindhoven,2019,3243,Male,18-22
Kenya,France,Marseille,2024,3653,Female,18-22
India,Ireland,Cork,2016,2086,Male,23-26
Bangladesh,Singapore,Singapore,2016,1931,Female,18-22
Vietnam,Spain,Madrid,2023,2620,Male,18-22
Pakistan,South Korea,Daejeon,2024,2920,Female,18-22
Nepal,Sweden,Uppsala,2016,1389,Female,18-22
Bangladesh,Russia,Moscow,2018,1437,Male,27+
Brazil,Norway,Bergen,2023,1728,Male,18-22
Kenya,USA,New York,2017,5760,Male,18-22
India,South Korea,Busan,2023,6853,Male,18-22
Pakistan,Sweden,Stockholm,2015,1407,Female,27+
Kenya,UK,London,2019,3720,Female,23-26
India,Ireland,Cork,2019,2197,Female,18-22
Pakistan,Russia,Kazan,2019,1820,Male,18-22
Nepal,Singapore,Singapore,2015,1538,Male,18-22
Nepal,Italy,Rome,2015,1062,Male,23-26
Nepal,Japan,Kyoto,2019,3637,Male,23-26
Kenya,France,Marseille,2023,3901,Male,18-22
Nigeria,Italy,Florence,2015,2397,Male,18-22
Kenya,South Africa,Pretoria,2023,1096,Female,18-22
Nepal,Sweden,Gothenburg,2015,1527,Male,18-22
India,India,Delhi,2024,3539,Male,27+
Nigeria,Australia,Melbourne,2020,4724,Male,18-22
Brazil,Singapore,Singapore,2017,1546,Non-binary,18-22
Kenya,Italy,Milan,2022,2195,Female,27+
Brazil,Canada,Montreal,2021,3216,Male,18-22
Turkey,Germany,Berlin,2016,2703,Male,23-26
Brazil,Finland,Helsinki,2022,632,Male,23-26
Bangladesh,Ireland,Dublin,2022,991,Female,18-22
India,France,Marseille,2016,7668,Male,23-26
India,Ireland,Cork,2016,2035,Female,23-26
Kenya,Spain,Barcelona,2021,2478,Male,27+
Nepal,South Africa,Cape Town,2022,1980,Female,18-22
Bangladesh,UAE,Dubai,2023,982,Female,18-22
Turkey,South Africa,Johannesburg,2024,1440,Female,18-22
Brazil,Germany,Munich,2020,3202,Female,18-22
Vietnam,India,Mumbai,2021,982,Female,23-26
India,Germany,Berlin,2015,6467,Male,23-26
Pakistan,Russia,St. Petersburg,2021,2004,Male,27+
Nepal,Ireland,Dublin,2020,795,Female,18-22
Kenya,Sweden,Uppsala,2019,1526,Non-binary,23-26
India,Australia,Sydney,2018,8048,Male,23-26
China,Spain,Barcelona,2020,4791,Male,18-22
Pakistan,Canada,Toronto,2022,4602,Female,18-22
Nigeria,UAE,Dubai,2023,1513,Male,18-22
Nigeria,France,Lyon,2023,6134,Male,18-22
Nigeria,Finland,Turku,2021,1066,Male,18-22
Vietnam,Japan,Tokyo,2024,3035,Female,23-26
Nigeria,Japan,Osaka,2022,4222,Male,18-22
Nigeria,Germany,Hamburg,2016,3884,Male,18-22
Turkey,UAE,Dubai,2016,823,Female,23-26
Kenya,India,Delhi,2022,981,Male,23-26
Vietnam,Russia,Moscow,2015,1607,Female,23-26
Vietnam,South Africa,Johannesburg,2022,1563,Non-binary,18-22
India,Japan,Osaka,2015,6619,Male,23-26
Kenya,Singapore,Singapore,2018,1834,Male,18-22
Pakistan,Singapore,Singapore,2022,2154,Male,18-22
Vietnam,Ireland,Galway,2023,1019,Male,18-22
India,Netherlands,Eindhoven,2018,4911,Female,27+
Pakistan,USA,New York,2022,6360,Male,23-26
Nigeria,Canada,Montreal,2021,5678,Female,18-22
Nigeria,Singapore,Singapore,2024,3367,Female,23-26
Vietnam,Ireland,Dublin,2023,999,Male,23-26
Bangladesh,UAE,Abu Dhabi,2020,1047,Male,18-22
Pakistan,USA,Boston,2020,6729,Male,23-26
India,Australia,Melbourne,2024,10951,Male,18-22
Pakistan,Japan,Kyoto,2023,3607,Female,18-22
Brazil,Canada,Montreal,2019,3020,Female,23-26
China,Netherlands,Rotterdam,2016,3252,Female,18-22
Brazil,Netherlands,Amsterdam,2018,1803,Female,23-26
India,Italy,Rome,2021,5734,Female,23-26
Brazil,Sweden,Stockholm,2022,1897,Female,18-22
Brazil,Germany,Frankfurt,2022,4390,Male,23-26
Turkey,Netherlands,Eindhoven,2019,1897,Female,18-22
Nepal,UAE,Dubai,2017,1180,Male,18-22
Bangladesh,UAE,Sharjah,2016,1154,Male,18-22
Kenya,Sweden,Stockholm,2020,1012,Male,23-26
Kenya,Finland,Helsinki,2017,718,Female,18-22
India,Ireland,Dublin,2022,2269,Male,18-22
Kenya,Netherlands,Eindhoven,2015,1402,Male,18-22
Kenya,Canada,Vancouver,2021,4086,Female,18-22
China,Finland,Turku,2017,1233,Female,18-22
Pakistan,South Korea,Daejeon,2024,2818,Male,23-26
India,USA,Boston,2022,16487,Male,23-26
Pakistan,Ireland,Dublin,2020,1122,Female,23-26
Nigeria,France,Lyon,2017,4207,Male,18-22
Vietnam,Norway,Oslo,2019,1254,Male,18-22
China,USA,New York,2024,14039,Female,18-22
Kenya,Norway,Bergen,2021,1231,Male,18-22
China,Spain,Barcelona,2017,3864,Female,18-22
Vietnam,Japan,Tokyo,2021,2683,Male,23-26
Brazil,UK,Birmingham,2017,4187,Male,27+
Brazil,Japan,Osaka,2020,2191,Male,18-22
Pakistan,Germany,Hamburg,2024,4285,Male,23-26
Brazil,Sweden,Uppsala,2023,1778,Female,23-26
Turkey,Netherlands,Amsterdam,2016,1334,Male,18-22
Nepal,Ireland,Galway,2016,408,Female,27+
Turkey,Spain,Valencia,2023,2760,Female,18-22
Brazil,France,Paris,2022,4178,Female,23-26
Kenya,Australia,Melbourne,2015,4269,Male,23-26
India,South Korea,Busan,2018,5703,Female,23-26
Bangladesh,Singapore,Singapore,2016,2246,Female,18-22
China,Italy,Rome,2024,5281,Male,18-22
Nepal,Ireland,Dublin,2016,639,Female,23-26
Pakistan,Italy,Milan,2016,2147,Female,27+
China,Netherlands,Rotterdam,2020,3447,Male,18-22
Vietnam,Spain,Madrid,2021,2898,Female,23-26
Nigeria,Norway,Trondheim,2017,1736,Female,23-26
Pakistan,Italy,Florence,2021,2388,Male,23-26
Vietnam,Russia,St. Petersburg,2019,1716,Male,18-22
India,South Korea,Busan,2017,4931,Male,18-22
Pakistan,South Africa,Johannesburg,2018,1870,Female,23-26
Pakistan,Spain,Barcelona,2017,2631,Female,18-22
Nepal,Norway,Oslo,2023,1557,Male,23-26
China,Canada,Vancouver,2019,7172,Female,23-26
India,France,Paris,2018,6810,Male,18-22
India,Canada,Toronto,2017,8134,Male,18-22
Nigeria,Singapore,Singapore,2016,2433,Male,23-26
Brazil,Australia,Melbourne,2023,3684,Male,18-22
Turkey,Russia,Moscow,2017,1864,Female,18-22
Nigeria,France,Paris,2021,4326,Female,18-22
Nepal,Spain,Barcelona,2022,2982,Female,23-26
Vietnam,Ireland,Galway,2023,855,Male,27+
Vietnam,South Korea,Busan,2024,2344,Female,23-26
India,France,Marseille,2015,6898,Male,18-22
Nigeria,UAE,Abu Dhabi,2019,1272,Female,18-22
Kenya,India,Bangalore,2019,1246,Female,18-22
Turkey,India,Delhi,2016,1267,Female,18-22
Pakistan,Italy,Rome,2022,3207,Female,18-22
Pakistan,Norway,Bergen,2024,2083,Female,23-26
Kenya,South Africa,Pretoria,2021,1542,Female,23-26
Vietnam,Germany,Frankfurt,2022,2720,Female,18-22
Nepal,USA,Los Angeles,2018,5718,Female,18-22
Bangladesh,Italy,Milan,2018,2177,Female,23-26
Brazil,Finland,Helsinki,2020,732,Female,18-22
Brazil,Australia,Melbourne,2020,2782,Male,18-22
India,UK,Birmingham,2024,12491,Male,18-22
Turkey,Italy,Florence,2022,2838,Female,23-26
China,Russia,Kazan,2018,3672,Female,18-22
Vietnam,Sweden,Gothenburg,2017,1582,Female,18-22
India,Japan,Tokyo,2023,7322,Male,18-22
Bangladesh,Norway,Bergen,2018,1208,Male,18-22
Turkey,Norway,Trondheim,2021,1185,Male,23-26
Kenya,Singapore,Singapore,2017,1245,Male,18-22
India,France,Marseille,2018,7336,Female,23-26
India,UAE,Sharjah,2023,3095,Female,23-26
China,France,Paris,2019,6796,Male,18-22
Kenya,South Africa,Pretoria,2021,1395,Female,18-22
Nepal,South Africa,Johannesburg,2015,1006,Female,23-26
Kenya,Ireland,Dublin,2021,1073,Non-binary,23-26
Nepal,Canada,Vancouver,2024,4205,Male,18-22
Kenya,Singapore,Singapore,2017,1828,Male,23-26
Nepal,Netherlands,Eindhoven,2015,1630,Female,23-26
Vietnam,India,Mumbai,2017,1287,Female,23-26
Vietnam,UK,Manchester,2022,5459,Female,18-22
Brazil,France,Marseille,2017,3238,Male,27+
Vietnam,South Africa,Johannesburg,2024,1224,Male,27+
Vietnam,Russia,Moscow,2022,1704,Female,23-26
Kenya,UAE,Sharjah,2023,1317,Female,18-22
Bangladesh,Germany,Hamburg,2017,2680,Female,23-26
Turkey,Canada,Montreal,2017,3117,Male,23-26
Nigeria,USA,Los Angeles,2016,7890,Non-binary,18-22
Nepal,UAE,Sharjah,2018,1074,Male,27+
Bangladesh,Russia,Kazan,2017,1725,Male,27+
Bangladesh,France,Paris,2018,3906,Male,18-22
Kenya,Norway,Trondheim,2016,1021,Non-binary,27+
Nepal,France,Lyon,2019,3215,Female,23-26
India,Singapore,Singapore,2024,5506,Male,18-22
Brazil,Ireland,Cork,2021,955,Female,18-22
Bangladesh,UK,Birmingham,2016,4486,Female,23-26
China,UAE,Sharjah,2015,1695,Female,18-22
Turkey,Australia,Brisbane,2024,3646,Female,18-22
Nigeria,Norway,Trondheim,2021,1963,Male,18-22
Vietnam,Germany,Munich,2024,4566,Male,23-26
Vietnam,Ireland,Galway,2023,1006,Female,23-26
Nigeria,South Korea,Daejeon,2023,3624,Male,18-22
Brazil,South Korea,Seoul,2023,2934,Male,18-22
Turkey,USA,Los Angeles,2015,3975,Male,18-22
Nepal,India,Delhi,2021,1281,Female,23-26
Nigeria,India,Delhi,2019,1434,Female,18-22
Kenya,Germany,Munich,2024,3601,Female,27+
India,Australia,Brisbane,2017,8637,Female,23-26
China,Norway,Bergen,2018,2677,Female,18-22
India,Norway,Oslo,2016,2924,Male,23-26
Bangladesh,France,Paris,2024,2968,Male,27+
China,UK,Birmingham,2020,8756,Male,27+
Pakistan,France,Paris,2016,3117,Male,18-22
Nepal,Australia,Brisbane,2024,4242,Female,27+
Pakistan,Norway,Trondheim,2023,1676,Male,23-26
Nepal,South Korea,Seoul,2024,3036,Female,23-26
Bangladesh,Japan,Kyoto,2023,2644,Female,18-22
Nigeria,India,Bangalore,2019,1793,Female,23-26
Pakistan,Australia,Melbourne,2023,3811,Male,18-22
Brazil,Germany,Munich,2018,2098,Male,18-22
Nepal,Russia,St. Petersburg,2021,1604,Non-binary,23-26
China,India,Delhi,2015,2210,Male,23-26
Nigeria,Ireland,Cork,2022,1437,Female,23-26
Nepal,UK,London,2023,5656,Female,23-26
Nigeria,Japan,Tokyo,2017,3846,Non-binary,18-22
Turkey,Japan,Kyoto,2019,2165,Female,18-22
Turkey,Sweden,Stockholm,2017,1398,Female,18-22
Nigeria,UAE,Dubai,2015,1406,Female,18-22
Brazil,South Korea,Busan,2020,2274,Female,23-26
Nepal,Australia,Sydney,2024,4693,Male,18-22
India,Canada,Montreal,2021,9979,Male,23-26
Kenya,Finland,Turku,2022,600,Female,27+
China,Russia,St. Petersburg,2023,3879,Female,23-26
Brazil,Germany,Frankfurt,2023,3201,Female,18-22
Turkey,Canada,Toronto,2023,3693,Male,23-26
Nigeria,Netherlands,Eindhoven,2021,2919,Male,23-26
Kenya,Germany,Munich,2018,2656,Female,18-22
Nigeria,Russia,Kazan,2017,2278,Male,18-22
Vietnam,South Africa,Pretoria,2022,1419,Female,18-22
Kenya,USA,Los Angeles,2022,8120,Male,23-26
Pakistan,South Africa,Cape Town,2016,1017,Female,18-22
Kenya,Russia,Moscow,2021,1670,Male,18-22
India,UAE,Dubai,2021,2395,Female,18-22
Vietnam,UAE,Dubai,2023,1044,Female,23-26
Nepal,South Africa,Cape Town,2024,2046,Male,23-26
Nigeria,USA,New York,2022,9403,Male,18-22
China,South Korea,Seoul,2020,5026,Male,23-26
Nepal,Finland,Turku,2021,495,Female,23-26
Nepal,Spain,Valencia,2017,2348,Female,23-26
Nigeria,Australia,Brisbane,2024,6421,Female,23-26
Brazil,Canada,Montreal,2018,3194,Male,18-22
China,Russia,Moscow,2022,4503,Female,27+
India,Russia,Moscow,2018,4172,Male,23-26
Turkey,South Korea,Daejeon,2015,2669,Male,18-22
Brazil,Russia,St. Petersburg,2015,1484,Female,23-26
Nepal,USA,Boston,2017,7064,Female,18-22
Kenya,UAE,Abu Dhabi,2017,881,Male,27+
India,France,Marseille,2017,8359,Female,18-22
Turkey,Singapore,Singapore,2022,2353,Male,23-26
Bangladesh,USA,Boston,2021,6547,Female,18-22
Bangladesh,India,Mumbai,2020,1464,Male,18-22
Pakistan,UK,London,2017,3907,Male,18-22
Kenya,Australia,Brisbane,2016,2819,Female,18-22
China,Japan,Kyoto,2022,6723,Female,27+
Vietnam,Norway,Trondheim,2017,1064,Male,18-22
China,Ireland,Dublin,2022,1921,Male,23-26
Kenya,Ireland,Cork,2016,839,Male,18-22
Brazil,Italy,Rome,2023,1868,Male,18-22
Brazil,Netherlands,Rotterdam,2023,1782,Female,23-26
India,Australia,Melbourne,2019,8917,Male,18-22
Nigeria,Japan,Osaka,2020,3828,Female,23-26
Pakistan,Finland,Turku,2021,641,Female,23-26
Kenya,Spain,Valencia,2023,2948,Male,23-26
Turkey,Canada,Vancouver,2016,1547,Female,23-26
Vietnam,UAE,Abu Dhabi,2021,1379,Male,18-22
Vietnam,Singapore,Singapore,2020,1333,Male,18-22
Kenya,UAE,Abu Dhabi,2021,1050,Female,18-22
Vietnam,France,Paris,2018,3484,Male,23-26
Turkey,Singapore,Singapore,2022,2384,Male,23-26
Nigeria,UK,London,2022,6503,Male,18-22
India,UAE,Sharjah,2017,2331,Male,18-22
India,UK,Manchester,2017,9661,Male,18-22
India,Spain,Valencia,2022,6295,Male,18-22
Turkey,Italy,Florence,2015,1968,Female,18-22
India,Singapore,Singapore,2024,5761,Male,18-22
